"ID","exon_merge","CDS_merge"
"ENSP00000202773_nt",947,864
"ENSP00000202816_nt",3216,2553
"ENSP00000202831_nt",2975,1752
"ENSP00000202967_nt",1217,942
"ENSP00000203001_nt",2327,1491
"ENSP00000203407_nt",1985,1440
"ENSP00000203556_nt",3538,2910
"ENSP00000203629_nt",1974,1575
"ENSP00000203630_nt",1969,744
"ENSP00000203664_nt",3922,702
"ENSP00000204517_nt",2215,1014
"ENSP00000204549_nt",2851,1455
"ENSP00000204566_nt",1822,924
"ENSP00000204604_nt",3521,2865
"ENSP00000204615_nt",1855,1059
"ENSP00000204679_nt",1983,915
"ENSP00000204726_nt",9252,4494
"ENSP00000204961_nt",3314,1038
"ENSP00000205061_nt",8261,3609
"ENSP00000205143_nt",2332,1854
"ENSP00000205194_nt",1536,618
"ENSP00000205214_nt",3590,3294
"ENSP00000205386_nt",5857,5283
"ENSP00000205402_nt",3755,1527
"ENSP00000205557_nt",5747,4509
"ENSP00000205636_nt",3863,549
"ENSP00000205890_nt",11863,10590
"ENSP00000205948_nt",1176,1035
"ENSP00000206020_nt",1058,681
"ENSP00000206249_nt",6458,1785
"ENSP00000206262_nt",1636,630
"ENSP00000206380_nt",1536,771
"ENSP00000206423_nt",12430,2850
"ENSP00000206474_nt",1642,1089
"ENSP00000206513_nt",1554,843
"ENSP00000206542_nt",2002,1005
"ENSP00000206765_nt",2777,2451
"ENSP00000207457_nt",1509,1290
"ENSP00000207870_nt",3664,1608
"ENSP00000209540_nt",1242,1065
"ENSP00000209668_nt",1499,1125
"ENSP00000209718_nt",1987,1266
"ENSP00000209728_nt",4810,1680
"ENSP00000209873_nt",1840,1638
"ENSP00000209875_nt",11528,573
"ENSP00000209884_nt",3421,1827
"ENSP00000209929_nt",3851,1605
"ENSP00000210187_nt",1675,768
"ENSP00000210313_nt",3443,1512
"ENSP00000210444_nt",1170,1077
"ENSP00000210633_nt",4094,2529
"ENSP00000211076_nt",1499,726
"ENSP00000211122_nt",902,666
"ENSP00000211287_nt",2052,1095
"ENSP00000211314_nt",992,297
"ENSP00000211413_nt",1909,918
"ENSP00000211936_nt",3101,2253
"ENSP00000211998_nt",5490,3402
"ENSP00000212015_nt",4094,2241
"ENSP00000212355_nt",6465,2553
"ENSP00000214869_nt",1340,681
"ENSP00000215057_nt",2905,2202
"ENSP00000215061_nt",1133,792
"ENSP00000215071_nt",1553,1050
"ENSP00000215095_nt",4697,864
"ENSP00000215368_nt",949,639
"ENSP00000215375_nt",997,504
"ENSP00000215530_nt",1311,510
"ENSP00000215531_nt",1329,390
"ENSP00000215555_nt",1376,738
"ENSP00000215565_nt",531,411
"ENSP00000215567_nt",1171,924
"ENSP00000215570_nt",1973,285
"ENSP00000215574_nt",1471,708
"ENSP00000215582_nt",2871,2037
"ENSP00000215659_nt",1918,1101
"ENSP00000215727_nt",2437,1497
"ENSP00000215730_nt",4287,774
"ENSP00000215739_nt",4572,2520
"ENSP00000215742_nt",1213,927
"ENSP00000215743_nt",2291,1464
"ENSP00000215754_nt",939,345
"ENSP00000215770_nt",1545,402
"ENSP00000215781_nt",1854,756
"ENSP00000215793_nt",5143,2379
"ENSP00000215794_nt",2129,1116
"ENSP00000215812_nt",2086,1200
"ENSP00000215829_nt",1763,378
"ENSP00000215832_nt",11022,1080
"ENSP00000215838_nt",2535,1281
"ENSP00000215855_nt",867,633
"ENSP00000215882_nt",1648,933
"ENSP00000215885_nt",2697,1527
"ENSP00000215886_nt",591,396
"ENSP00000215904_nt",2010,888
"ENSP00000215906_nt",3357,1107
"ENSP00000215909_nt",560,405
"ENSP00000215912_nt",2467,789
"ENSP00000215917_nt",4020,1017
"ENSP00000215939_nt",1102,756
"ENSP00000215941_nt",2184,900
"ENSP00000215957_nt",4710,2589
"ENSP00000215980_nt",966,540
"ENSP00000216024_nt",2371,1020
"ENSP00000216027_nt",1114,705
"ENSP00000216034_nt",2040,426
"ENSP00000216036_nt",1291,1044
"ENSP00000216037_nt",1850,783
"ENSP00000216038_nt",2027,1515
"ENSP00000216039_nt",3648,606
"ENSP00000216044_nt",5126,2007
"ENSP00000216061_nt",3415,2898
"ENSP00000216068_nt",1504,315
"ENSP00000216071_nt",995,870
"ENSP00000216075_nt",1130,855
"ENSP00000216085_nt",1794,1158
"ENSP00000216099_nt",2528,1158
"ENSP00000216101_nt",1490,609
"ENSP00000216106_nt",4047,1803
"ENSP00000216115_nt",953,480
"ENSP00000216117_nt",1822,864
"ENSP00000216121_nt",2237,852
"ENSP00000216122_nt",3534,2202
"ENSP00000216124_nt",2050,1527
"ENSP00000216127_nt",3412,798
"ENSP00000216129_nt",3385,1932
"ENSP00000216133_nt",4081,753
"ENSP00000216139_nt",1433,1263
"ENSP00000216144_nt",3259,645
"ENSP00000216160_nt",3237,1512
"ENSP00000216177_nt",2539,1287
"ENSP00000216180_nt",2805,1443
"ENSP00000216181_nt",7501,5880
"ENSP00000216185_nt",1736,498
"ENSP00000216187_nt",3933,2052
"ENSP00000216190_nt",2155,1644
"ENSP00000216194_nt",1620,1494
"ENSP00000216200_nt",595,330
"ENSP00000216211_nt",1051,861
"ENSP00000216214_nt",3458,1071
"ENSP00000216218_nt",3595,1107
"ENSP00000216223_nt",4113,1653
"ENSP00000216225_nt",1188,324
"ENSP00000216237_nt",3296,2115
"ENSP00000216241_nt",2533,2286
"ENSP00000216252_nt",1086,330
"ENSP00000216259_nt",1298,786
"ENSP00000216264_nt",4450,1611
"ENSP00000216268_nt",6893,3513
"ENSP00000216271_nt",2687,2007
"ENSP00000216274_nt",1930,1554
"ENSP00000216277_nt",4519,2235
"ENSP00000216286_nt",4811,4125
"ENSP00000216294_nt",2656,1104
"ENSP00000216297_nt",4684,3141
"ENSP00000216330_nt",1684,672
"ENSP00000216336_nt",886,765
"ENSP00000216338_nt",909,738
"ENSP00000216341_nt",968,741
"ENSP00000216361_nt",2397,1650
"ENSP00000216366_nt",2256,477
"ENSP00000216367_nt",1776,1581
"ENSP00000216373_nt",5498,3996
"ENSP00000216392_nt",3048,2541
"ENSP00000216410_nt",3860,552
"ENSP00000216442_nt",1845,741
"ENSP00000216452_nt",1420,564
"ENSP00000216455_nt",970,765
"ENSP00000216468_nt",7784,975
"ENSP00000216471_nt",2564,2022
"ENSP00000216479_nt",1402,1014
"ENSP00000216484_nt",8170,1686
"ENSP00000216487_nt",3859,2955
"ENSP00000216489_nt",2594,1167
"ENSP00000216492_nt",2063,1371
"ENSP00000216513_nt",6285,2343
"ENSP00000216540_nt",2049,1047
"ENSP00000216554_nt",5945,1293
"ENSP00000216602_nt",1521,756
"ENSP00000216629_nt",1687,1059
"ENSP00000216639_nt",1745,1188
"ENSP00000216714_nt",1484,954
"ENSP00000216727_nt",2001,918
"ENSP00000216733_nt",3118,1683
"ENSP00000216774_nt",2279,1512
"ENSP00000216780_nt",2357,1920
"ENSP00000216797_nt",1558,951
"ENSP00000216799_nt",835,624
"ENSP00000216807_nt",2657,969
"ENSP00000216832_nt",3576,2151
"ENSP00000216840_nt",2088,1701
"ENSP00000216862_nt",3262,1542
"ENSP00000216923_nt",3264,2043
"ENSP00000216951_nt",1922,1422
"ENSP00000216962_nt",4134,2529
"ENSP00000216968_nt",1348,714
"ENSP00000217026_nt",2639,2100
"ENSP00000217043_nt",1377,759
"ENSP00000217073_nt",1851,1842
"ENSP00000217086_nt",5208,3159
"ENSP00000217109_nt",4290,1293
"ENSP00000217121_nt",2362,687
"ENSP00000217131_nt",1495,909
"ENSP00000217133_nt",3496,1353
"ENSP00000217159_nt",2776,2166
"ENSP00000217169_nt",1368,894
"ENSP00000217173_nt",4631,1623
"ENSP00000217182_nt",2006,1389
"ENSP00000217188_nt",1516,1464
"ENSP00000217195_nt",1302,597
"ENSP00000217244_nt",4416,1173
"ENSP00000217246_nt",4994,1275
"ENSP00000217254_nt",2654,1407
"ENSP00000217260_nt",2707,702
"ENSP00000217270_nt",1155,1152
"ENSP00000217289_nt",5151,2031
"ENSP00000217305_nt",2555,762
"ENSP00000217320_nt",2083,645
"ENSP00000217381_nt",2342,1515
"ENSP00000217386_nt",513,375
"ENSP00000217402_nt",1646,672
"ENSP00000217407_nt",1961,1443
"ENSP00000217420_nt",2574,1575
"ENSP00000217423_nt",751,423
"ENSP00000217426_nt",2143,1296
"ENSP00000217428_nt",476,267
"ENSP00000217446_nt",1632,1305
"ENSP00000217455_nt",1168,957
"ENSP00000217456_nt",2430,1248
"ENSP00000217515_nt",6894,867
"ENSP00000217740_nt",6020,696
"ENSP00000217893_nt",1283,792
"ENSP00000217901_nt",1485,1179
"ENSP00000217909_nt",2783,1023
"ENSP00000217939_nt",9793,8484
"ENSP00000217958_nt",1546,678
"ENSP00000217961_nt",6521,1749
"ENSP00000217964_nt",5871,1731
"ENSP00000217971_nt",1911,585
"ENSP00000217999_nt",769,552
"ENSP00000218004_nt",2692,591
"ENSP00000218006_nt",3714,3324
"ENSP00000218008_nt",3868,1071
"ENSP00000218056_nt",2124,1455
"ENSP00000218068_nt",499,306
"ENSP00000218075_nt",3216,1356
"ENSP00000218089_nt",5218,3804
"ENSP00000218099_nt",2780,1383
"ENSP00000218104_nt",3664,2235
"ENSP00000218147_nt",6860,5133
"ENSP00000218176_nt",4437,1941
"ENSP00000218230_nt",1050,780
"ENSP00000218249_nt",1029,834
"ENSP00000218316_nt",1951,1851
"ENSP00000218340_nt",3803,1050
"ENSP00000218348_nt",3338,2889
"ENSP00000218364_nt",2775,2265
"ENSP00000218388_nt",892,621
"ENSP00000218436_nt",4968,3939
"ENSP00000218439_nt",1958,1818
"ENSP00000218516_nt",1318,1287
"ENSP00000218548_nt",3732,3135
"ENSP00000218652_nt",4625,1008
"ENSP00000218721_nt",1239,1236
"ENSP00000218758_nt",1630,975
"ENSP00000218867_nt",1624,873
"ENSP00000219022_nt",2897,1530
"ENSP00000219054_nt",1988,1731
"ENSP00000219066_nt",1067,936
"ENSP00000219069_nt",3830,2049
"ENSP00000219070_nt",3741,1980
"ENSP00000219091_nt",1947,1662
"ENSP00000219097_nt",1628,756
"ENSP00000219139_nt",2865,1266
"ENSP00000219150_nt",1803,1383
"ENSP00000219162_nt",294,186
"ENSP00000219168_nt",1626,366
"ENSP00000219169_nt",2321,381
"ENSP00000219197_nt",2435,579
"ENSP00000219204_nt",2130,489
"ENSP00000219207_nt",1512,546
"ENSP00000219235_nt",2929,279
"ENSP00000219240_nt",2426,1185
"ENSP00000219244_nt",615,282
"ENSP00000219252_nt",2057,825
"ENSP00000219255_nt",1248,1038
"ENSP00000219271_nt",4250,2007
"ENSP00000219281_nt",2282,795
"ENSP00000219299_nt",5272,1131
"ENSP00000219301_nt",1810,1185
"ENSP00000219302_nt",1069,507
"ENSP00000219313_nt",1670,972
"ENSP00000219315_nt",1553,1419
"ENSP00000219334_nt",5453,1965
"ENSP00000219343_nt",6251,1545
"ENSP00000219345_nt",2727,1236
"ENSP00000219368_nt",2424,1116
"ENSP00000219400_nt",10301,237
"ENSP00000219406_nt",1698,1575
"ENSP00000219409_nt",949,675
"ENSP00000219431_nt",1193,894
"ENSP00000219439_nt",3519,990
"ENSP00000219454_nt",1534,660
"ENSP00000219476_nt",6156,5421
"ENSP00000219478_nt",5880,1440
"ENSP00000219481_nt",1615,876
"ENSP00000219548_nt",1472,909
"ENSP00000219551_nt",1560,1314
"ENSP00000219596_nt",3499,2343
"ENSP00000219599_nt",1471,942
"ENSP00000219611_nt",4744,3258
"ENSP00000219660_nt",1359,783
"ENSP00000219689_nt",10699,4056
"ENSP00000219746_nt",3233,1728
"ENSP00000219782_nt",2698,1479
"ENSP00000219794_nt",2128,1236
"ENSP00000219833_nt",2858,1884
"ENSP00000219837_nt",6432,1374
"ENSP00000219919_nt",3034,885
"ENSP00000220003_nt",2767,1350
"ENSP00000220058_nt",2734,1167
"ENSP00000220062_nt",2640,798
"ENSP00000220166_nt",2190,1005
"ENSP00000220244_nt",7226,4083
"ENSP00000220325_nt",6416,1623
"ENSP00000220429_nt",2726,1185
"ENSP00000220478_nt",3315,1404
"ENSP00000220496_nt",3731,912
"ENSP00000220507_nt",1705,708
"ENSP00000220509_nt",3895,2919
"ENSP00000220514_nt",1236,687
"ENSP00000220562_nt",6483,2757
"ENSP00000220592_nt",14581,2577
"ENSP00000220597_nt",10744,1296
"ENSP00000220616_nt",8450,8304
"ENSP00000220659_nt",2603,1257
"ENSP00000220669_nt",1798,804
"ENSP00000220751_nt",2584,1620
"ENSP00000220763_nt",1947,1416
"ENSP00000220764_nt",1207,1005
"ENSP00000220772_nt",4492,942
"ENSP00000220809_nt",2706,1686
"ENSP00000220812_nt",894,672
"ENSP00000220822_nt",3666,1074
"ENSP00000220849_nt",1543,1335
"ENSP00000220853_nt",1243,891
"ENSP00000220876_nt",2223,537
"ENSP00000220913_nt",2488,393
"ENSP00000220940_nt",723,474
"ENSP00000220966_nt",2678,858
"ENSP00000221086_nt",7481,1647
"ENSP00000221114_nt",1127,570
"ENSP00000221130_nt",3119,1566
"ENSP00000221132_nt",2714,1404
"ENSP00000221138_nt",2006,927
"ENSP00000221166_nt",4020,2748
"ENSP00000221200_nt",3401,1167
"ENSP00000221232_nt",2852,2259
"ENSP00000221233_nt",1118,705
"ENSP00000221265_nt",2066,1593
"ENSP00000221307_nt",5050,1560
"ENSP00000221315_nt",2577,1956
"ENSP00000221327_nt",4335,2076
"ENSP00000221399_nt",1754,1560
"ENSP00000221403_nt",1081,1002
"ENSP00000221418_nt",1411,984
"ENSP00000221419_nt",2471,1767
"ENSP00000221421_nt",514,423
"ENSP00000221444_nt",4372,1368
"ENSP00000221452_nt",2294,1737
"ENSP00000221455_nt",2234,2022
"ENSP00000221459_nt",755,621
"ENSP00000221462_nt",3163,2073
"ENSP00000221466_nt",1798,1095
"ENSP00000221476_nt",1657,1143
"ENSP00000221480_nt",1062,723
"ENSP00000221485_nt",2973,1680
"ENSP00000221486_nt",1165,897
"ENSP00000221494_nt",1963,1392
"ENSP00000221496_nt",1821,1680
"ENSP00000221498_nt",1222,726
"ENSP00000221515_nt",520,324
"ENSP00000221538_nt",2456,2151
"ENSP00000221543_nt",2366,1944
"ENSP00000221554_nt",1792,1188
"ENSP00000221561_nt",1884,792
"ENSP00000221566_nt",2330,939
"ENSP00000221573_nt",1542,1002
"ENSP00000221665_nt",2660,1488
"ENSP00000221671_nt",3427,1971
"ENSP00000221730_nt",1822,1080
"ENSP00000221742_nt",1719,1692
"ENSP00000221770_nt",2321,288
"ENSP00000221801_nt",1160,963
"ENSP00000221804_nt",635,426
"ENSP00000221847_nt",1186,687
"ENSP00000221855_nt",1473,732
"ENSP00000221856_nt",1831,1488
"ENSP00000221859_nt",913,375
"ENSP00000221891_nt",2495,1953
"ENSP00000221899_nt",2797,2274
"ENSP00000221922_nt",2093,1593
"ENSP00000221930_nt",2769,1170
"ENSP00000221957_nt",2333,1302
"ENSP00000221980_nt",3000,2772
"ENSP00000221992_nt",2874,2106
"ENSP00000221996_nt",4470,897
"ENSP00000222002_nt",1987,855
"ENSP00000222005_nt",1608,1134
"ENSP00000222008_nt",821,555
"ENSP00000222032_nt",523,336
"ENSP00000222033_nt",1426,1287
"ENSP00000222120_nt",4273,657
"ENSP00000222122_nt",2229,975
"ENSP00000222139_nt",2411,1524
"ENSP00000222145_nt",3308,2889
"ENSP00000222157_nt",885,627
"ENSP00000222212_nt",1016,825
"ENSP00000222214_nt",1956,1314
"ENSP00000222219_nt",1955,1080
"ENSP00000222224_nt",1542,792
"ENSP00000222247_nt",665,528
"ENSP00000222248_nt",3576,1929
"ENSP00000222250_nt",2503,1221
"ENSP00000222254_nt",4033,2184
"ENSP00000222256_nt",1528,660
"ENSP00000222266_nt",603,303
"ENSP00000222271_nt",2461,2271
"ENSP00000222284_nt",899,672
"ENSP00000222286_nt",1489,1224
"ENSP00000222304_nt",558,252
"ENSP00000222329_nt",2698,1644
"ENSP00000222330_nt",2188,1449
"ENSP00000222339_nt",3309,2958
"ENSP00000222345_nt",7987,5343
"ENSP00000222374_nt",2178,1164
"ENSP00000222381_nt",2568,1065
"ENSP00000222382_nt",1515,1512
"ENSP00000222388_nt",2185,1902
"ENSP00000222390_nt",5989,2184
"ENSP00000222402_nt",3974,441
"ENSP00000222462_nt",3147,1095
"ENSP00000222481_nt",1366,1257
"ENSP00000222482_nt",2797,1263
"ENSP00000222511_nt",7531,1161
"ENSP00000222543_nt",2444,705
"ENSP00000222547_nt",1504,354
"ENSP00000222553_nt",4582,1473
"ENSP00000222567_nt",3942,1014
"ENSP00000222573_nt",8751,2307
"ENSP00000222574_nt",2829,1542
"ENSP00000222584_nt",6126,2352
"ENSP00000222598_nt",1688,867
"ENSP00000222644_nt",8452,1620
"ENSP00000222674_nt",1190,588
"ENSP00000222693_nt",3301,486
"ENSP00000222718_nt",1814,1128
"ENSP00000222725_nt",2377,1137
"ENSP00000222726_nt",1657,810
"ENSP00000222728_nt",989,699
"ENSP00000222747_nt",2798,915
"ENSP00000222753_nt",5030,1164
"ENSP00000222792_nt",3530,1404
"ENSP00000222800_nt",1483,945
"ENSP00000222803_nt",4960,633
"ENSP00000222812_nt",2095,864
"ENSP00000222823_nt",4499,2859
"ENSP00000222902_nt",582,357
"ENSP00000222968_nt",2546,543
"ENSP00000222969_nt",1035,432
"ENSP00000222982_nt",1720,1506
"ENSP00000222990_nt",4727,1395
"ENSP00000223023_nt",4435,1515
"ENSP00000223026_nt",2407,1443
"ENSP00000223029_nt",1225,960
"ENSP00000223051_nt",2888,2403
"ENSP00000223054_nt",1053,705
"ENSP00000223061_nt",1702,1347
"ENSP00000223073_nt",15507,2277
"ENSP00000223095_nt",3190,1206
"ENSP00000223122_nt",6078,1089
"ENSP00000223127_nt",2920,2214
"ENSP00000223129_nt",2020,363
"ENSP00000223136_nt",734,456
"ENSP00000223145_nt",4743,1641
"ENSP00000223167_nt",1009,678
"ENSP00000223208_nt",6513,1119
